Data,Valor,Identificador,Descrição
02/05/2026,-74.7,DEMO-202605-0033,SUPERMERCADO RISSUL
02/05/2026,-150.52,DEMO-202605-0006,BOURBON SUPERMERCADO
03/05/2026,-65.64,DEMO-202605-0034,PIZZARIA BELLA
04/05/2026,-63.28,DEMO-202605-0015,BOURBON SUPERMERCADO
05/05/2026,-40.37,DEMO-202605-0013,PANVEL FARMACIA
05/05/2026,4400.0,DEMO-202605-0001,PIX RECEBIDO RANDSTAD SERVICOS
05/05/2026,-40.04,DEMO-202605-0004,IFOOD RESTAURANTE
06/05/2026,-158.5,DEMO-202605-0012,SUPERMERCADO RISSUL
07/05/2026,-900.0,DEMO-202605-0002,APLICAÇÃO INVESTIMENTO
08/05/2026,-55.06,DEMO-202605-0022,BOURBON SUPERMERCADO
08/05/2026,-53.3,DEMO-202605-0007,SUPERMERCADO RISSUL
11/05/2026,-239.68,DEMO-202605-0014,POSTO IPIRANGA COMBUSTIVEL
11/05/2026,-39.4,DEMO-202605-0032,BAR MAJESTIC
12/05/2026,-46.38,DEMO-202605-0026,PIZZARIA BELLA
13/05/2026,-714.56,DEMO-202605-0018,FATURA CARTAO
13/05/2026,-103.94,DEMO-202605-0030,POSTO IPIRANGA COMBUSTIVEL
13/05/2026,-224.17,DEMO-202605-0024,POSTO IPIRANGA COMBUSTIVEL
15/05/2026,-53.64,DEMO-202605-0010,BAR MAJESTIC
18/05/2026,-165.63,DEMO-202605-0005,BOURBON SUPERMERCADO
18/05/2026,-66.64,DEMO-202605-0008,BAR MAJESTIC
20/05/2026,-101.69,DEMO-202605-0016,PIZZARIA BELLA
20/05/2026,-124.19,DEMO-202605-0028,LOJA DE ROUPAS CENTRO
21/05/2026,-89.55,DEMO-202605-0031,IFOOD RESTAURANTE
23/05/2026,-198.44,DEMO-202605-0009,POSTO IPIRANGA COMBUSTIVEL
23/05/2026,-79.87,DEMO-202605-0021,PIZZARIA BELLA
23/05/2026,-190.6,DEMO-202605-0027,POSTO IPIRANGA COMBUSTIVEL
24/05/2026,-60.76,DEMO-202605-0029,LOJA DE ROUPAS CENTRO
24/05/2026,-77.42,DEMO-202605-0017,IFOOD RESTAURANTE
24/05/2026,-52.81,DEMO-202605-0003,LOJA DE ROUPAS CENTRO
27/05/2026,-143.78,DEMO-202605-0019,BOURBON SUPERMERCADO
27/05/2026,-53.9,DEMO-202605-0025,IFOOD RESTAURANTE
28/05/2026,-89.27,DEMO-202605-0023,IFOOD RESTAURANTE
28/05/2026,-17.96,DEMO-202605-0011,POSTO IPIRANGA CONVENIENCIA
28/05/2026,-120.26,DEMO-202605-0020,LOJA DE ROUPAS CENTRO
